		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111110110   26   19   34   24   17   26   12   24 14.202963 0.076626 SUCCESS 143
111111000   24   29   28   28   26   20   26   19  4.274590 0.831538 SUCCESS 144
111111010   28   30   28   27   21   24   18   29  5.842820 0.664833 SUCCESS 145
111111100   26   28   12   22   23   26   26   20  8.534430 0.383078 SUCCESS 146
111111110   21   28   18   29   22   24   22   24  4.171321 0.841345 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   21   24   20   19   26   30   21   24  4.484437 0.810988 SUCCESS   0
000000011   21   31   27   23   23   21   23   20  4.179927 0.840536 SUCCESS   1
000000101   22   30   22   22   31   33   19   27  8.562895 0.380499 SUCCESS   2
000000111   19   27   21   21   20   18   25   22  5.313236 0.723632 SUCCESS   3
000001001   35   22   12   18   19   22   30   25 16.075704 0.041309 SUCCESS   4
000001011   33   27   26   23   21   32   19   19  9.019661 0.340640 SUCCESS   5
000001101   15   24   28   26   23   25   24   30  5.841496 0.664981 SUCCESS   6
000001111   30   24   24   25   21   16   24   27  5.129206 0.743681 SUCCESS   7
000010001   25   23   26   25   36   25   24   32  8.394752 0.395889 SUCCESS   8
000010011   29   20   22   22   24   22   30   26  3.892627 0.866679 SUCCESS   9
000010101   21   33   24   28   24   28   23   29  5.716382 0.678967 SUCCESS  10
000010111   28   30   21   21   30   27   23   21  5.045796 0.752670 SUCCESS  11
000011001   29   21   29   21   17   17   21   22  8.143862 0.419545 SUCCESS  12
000011011   20   31   23   25   28   24   23   29  4.300407 0.829054 SUCCESS  13
000011101   22   23   24   20   19   27   26   21  3.272352 0.916122 SUCCESS  14
000011111   28   33   27   19   19   24   25   19  7.697025 0.463611 SUCCESS  15
000100011   23   29   21   24   31   28   21   23  4.444057 0.815004 SUCCESS  16
000100101   22   23   21   31   19   18   34   28 10.086772 0.258988 SUCCESS  17
000100111   27   27   28   28   23   21   22   28  3.038011 0.931950 SUCCESS  18
000101001   26   16   28   37   24   34   30   32 18.064291 0.020750 SUCCESS  19
000101011   22   32   24   32   37   31   24   27 14.014299 0.081393 SUCCESS  20
000101101   28   20   30   31   19   26   14   26 10.577961 0.226778 SUCCESS  21
000101111   25   28   25   29   30   31   28   35  9.964306 0.267540 SUCCESS  22
000110011   30   30   22   17   24   23   32   26  7.867816 0.446488 SUCCESS  23
000110101   21   19   31   24   22   24   28   24  4.383816 0.820941 SUCCESS  24
000110111   17   29   30   29   30   30   27   29  9.285115 0.318818 SUCCESS  25
000111001   14   19   26   22   28   23   29   24  7.704307 0.462874 SUCCESS  26
000111011   20   25   23   20   22   27   25   24  2.289974 0.970807 SUCCESS  27
000111101   27   20   20   22   26   28   24   34  6.740464 0.564876 SUCCESS  28
000111111   21   27   24   21   23   26   24   18  3.204830 0.920853 SUCCESS  29
001000011   24   25   20   20   22   24   27   25  2.213847 0.973744 SUCCESS  30
001000101   25   23   26   34   29   21   28   25  6.063921 0.640072 SUCCESS  31
001000111   24   32   29   16   25   22   16   30 10.916895 0.206453 SUCCESS  32
001001011   25   24   23   42   21   29   28   24 15.173425 0.055860 SUCCESS  33
001001101   20   22   15   26   29   23   24   28  6.450517 0.596901 SUCCESS  34
001001111   24   22   24   37   27   23   19   28  9.138817 0.330721 SUCCESS  35
001010011   24   23   27   26   24   29   26   32  3.945586 0.861999 SUCCESS  36
001010101   27   25   23   30   24   17   23   22  4.366605 0.822626 SUCCESS  37
001010111   26   28   19   22   35   29   22   28  8.588712 0.378170 SUCCESS  38
001011011   32   19   31   25   21   21   21   26  7.121103 0.523625 SUCCESS  39
001011101   24   24   18   30   16   26   29   12 13.584012 0.093273 SUCCESS  40
001011111   26   20   26   33   29   35   21   30 11.649045 0.167563 SUCCESS  41
001100101   26   14   30   21   25   22   25   15 10.525003 0.230092 SUCCESS  42
001100111   23   25   21   18   26   19   33   21  7.289246 0.505771 SUCCESS  43
001101011   35   21   25   22   24   24   28   21  6.562392 0.584496 SUCCESS  44
001101101   22   24   21   20   22   23   25   29  2.798375 0.946366 SUCCESS  45
001101111   18   27   24   21   27   29   22   26  4.053488 0.852266 SUCCESS  46
001110101   29   29   25   16   20   26   25   29  6.638520 0.576087 SUCCESS  47
001110111   17   24   26   22   17   29   28   21  6.933101 0.543868 SUCCESS  48
001111011   24   27   20   33   25   27   25   23  4.647946 0.794456 SUCCESS  49
001111101   29   31   27   31   20   31   26   16 10.639525 0.222972 SUCCESS  50
001111111   20   24   23   17   29   26   13   20 10.558102 0.228016 SUCCESS  51
010000011   29   16   27   23   21   21   24   27  5.527056 0.700041 SUCCESS  52
010000111   15   24   24   23   22   33   23   19  8.534430 0.383078 SUCCESS  53
010001011   31   25   31   36   24   26   20   28 10.895050 0.207717 SUCCESS  54
010001111   23   28   15   18   23   32   25   25  8.670798 0.370823 SUCCESS  55
010010011   21   27   21   21   24   23   24   23  1.933829 0.982974 SUCCESS  56
010010111   26   29   25   40   25   32   28   18 16.080999 0.041235 SUCCESS  57
010011011   16   19   19   24   21   27   26   26  6.457799 0.596092 SUCCESS  58
010011111   24   21   22   30   29   13   16   31 13.305318 0.101767 SUCCESS  59
