------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <data/restart/restart_sample.bin>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
  0   0   0   0   0   0 100   0   0   0  0.000000 *  100/100     RandomExcursions
  0   0   0   0  99   0   0   0   0   1  0.000000 *  100/100     RandomExcursionsVariant
  0   0   0   0  99   0   0   0   1   0  0.000000 *  100/100     RandomExcursionsVariant
  0   0   0   0  99   0   0   0   1   0  0.000000 *  100/100     RandomExcursionsVariant
  0   0   0   0  99   1   0   0   0   0  0.000000 *  100/100     RandomExcursionsVariant
  0   0   0   0  99   1   0   0   0   0  0.000000 *  100/100     RandomExcursionsVariant
  0   0   0   0  99   0   0   0   0   1  0.000000 *  100/100     RandomExcursionsVariant
  0   0   0   0  99   1   0   0   0   0  0.000000 *  100/100     RandomExcursionsVariant
  0   0   0   0  99   0   1   0   0   0  0.000000 *  100/100     RandomExcursionsVariant
  0   0   0   0  99   1   0   0   0   0  0.000000 *  100/100     RandomExcursionsVariant
  0   0   0   0  99   0   1   0   0   0  0.000000 *  100/100     RandomExcursionsVariant
  0   0   0   0  99   0   0   0   1   0  0.000000 *  100/100     RandomExcursionsVariant
  0   0   0   0  99   0   0   0   1   0  0.000000 *  100/100     RandomExcursionsVariant
  0   0   0   0  99   0   0   0   1   0  0.000000 *  100/100     RandomExcursionsVariant
  0   0   0   0  99   0   0   0   0   1  0.000000 *  100/100     RandomExcursionsVariant
  0   0   0   0  99   0   0   0   1   0  0.000000 *  100/100     RandomExcursionsVariant
  0   0   0   0  99   0   0   0   1   0  0.000000 *  100/100     RandomExcursionsVariant
  0   0   0   0  99   0   0   1   0   0  0.000000 *  100/100     RandomExcursionsVariant
  0   0   0   0 100   0   0   0   0   0  0.000000 *  100/100     RandomExcursionsVariant
  0   0   0   0   0   0   1   0  99   0  0.000000 *  100/100     Serial
  0   0   0   0   0   0   0   0 100   0  0.000000 *  100/100     Serial
  0   0   0   0   0   0   0   0   0 100  0.000000 *  100/100     LinearComplexity


- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
The minimum pass rate for each statistical test with the exception of the
random excursion (variant) test is approximately = 96 for a
sample size = 100 binary sequences.

The minimum pass rate for the random excursion (variant) test
is approximately = 96 for a sample size = 100 binary sequences.

For further guidelines construct a probability table using the MAPLE program
provided in the addendum section of the documentation.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
